ticker,stock_name,isin_code,market_type
145720.KS,덴티움,KR7145720009,KOSPI
484120.KQ,도우인시스,KR7484120001,KOSDAQ
067990.KQ,도이치모터스,KR7067990002,KOSDAQ
002150.KS,도화엔지니어링,KR7002150001,KOSPI
006620.KQ,동구바이오제약,KR7006620009,KOSDAQ
005160.KQ,동국산업,KR7005160007,KOSDAQ
303810.KQ,동국생명과학,KR7303810006,KOSDAQ
460850.KS,동국씨엠,KR7460850001,KOSPI
075970.KQ,동국알앤에스,KR7075970004,KOSDAQ
100130.KQ,동국S&C,KR7100130004,KOSDAQ
460860.KS,동국제강,KR7460860000,KOSPI
001230.KS,동국홀딩스,KR7001230002,KOSPI
240550.KQ,동방메디컬,KR7240550004,KOSDAQ
004140.KS,동방,KR7004140000,KOSPI
099410.KQ,동방선기,KR7099410003,KOSDAQ
007590.KS,동방아그로,KR7007590003,KOSPI
005965.KS,동부건설우,KR7005961008,KOSPI
005960.KS,동부건설,KR7005960000,KOSPI
026960.KS,동서,KR7026960005,KOSPI
002210.KS,동성제약,KR7002210003,KOSPI
102260.KS,동성케미컬,KR7102260007,KOSPI
033500.KQ,동성화인텍,KR7033500000,KOSDAQ
025950.KQ,동신건설,KR7025950007,KOSDAQ
000640.KS,동아쏘시오홀딩스,KR7000640003,KOSPI
170900.KS,동아에스티,KR7170900005,KOSPI
088130.KQ,동아엘텍,KR7088130000,KOSDAQ
028100.KS,동아지질,KR7028100006,KOSPI
041930.KQ,동아화성,KR7041930009,KOSDAQ
001525.KS,동양우,KR7001521004,KOSPI
001527.KS,동양2우B,KR7001522002,KOSPI
084670.KS,동양고속,KR7084670009,KOSPI
001520.KS,동양,KR7001520006,KOSPI
082640.KS,동양생명,KR7082640004,KOSPI
060380.KQ,동양에스텍,KR7060380003,KOSDAQ
079960.KQ,동양이엔피,KR7079960001,KOSDAQ
008970.KS,동양철관,KR7008970006,KOSPI
228340.KQ,동양파일,KR7228340006,KOSDAQ
088910.KQ,동우팜투테이블,KR7088910005,KOSDAQ
094170.KQ,동운아나텍,KR7094170008,KOSDAQ
049770.KS,동원F&B,KR7049770001,KOSPI
013120.KQ,동원개발,KR7013120001,KOSDAQ
018500.KS,동원금속,KR7018500009,KOSPI
006040.KS,동원산업,KR7006040000,KOSPI
030720.KS,동원수산,KR7030720007,KOSPI
014825.KS,동원시스템즈우,KR7014821003,KOSPI
014820.KS,동원시스템즈,KR7014820005,KOSPI
111380.KS,동인기연,KR7111380002,KOSPI
163560.KS,동일고무벨트,KR7163560006,KOSPI
109860.KQ,동일금속,KR7109860007,KOSDAQ
032960.KQ,동일기연,KR7032960007,KOSDAQ
004890.KS,동일산업,KR7004890000,KOSPI
023790.KQ,동일스틸럭스,KR7023790009,KOSDAQ
002690.KS,동일제강,KR7002690006,KOSPI
005290.KQ,동진쎄미켐,KR7005290002,KOSDAQ
000020.KS,동화약품,KR7000020008,KOSPI
000155.KS,두산우,KR7000151001,KOSPI
000157.KS,두산2우B,KR7000152009,KOSPI
454910.KS,두산로보틱스,KR7454910001,KOSPI
241560.KS,두산밥캣,KR7241560002,KOSPI
000150.KS,두산,KR7000150003,KOSPI
034020.KS,두산에너빌리티,KR7034020008,KOSPI
336260.KS,두산퓨얼셀,KR7336260005,KOSPI
016740.KS,두올,KR7016740003,KOSPI
073190.KQ,듀오백,KR7073190001,KOSDAQ
176750.KQ,듀켐바이오,KR7176750008,KOSDAQ
030350.KQ,드래곤플라이,KR7030350003,KOSDAQ
203650.KQ,드림시큐리티,KR7203650007,KOSDAQ
223250.KQ,드림씨아이에스,KR7223250002,KOSDAQ
060570.KQ,드림어스컴퍼니,KR7060570009,KOSDAQ
362990.KQ,드림인사이트,KR7362990004,KOSDAQ
192650.KS,드림텍,KR7192650000,KOSPI
016670.KQ,디모아,KR7016670002,KOSDAQ
187870.KQ,디바이스,KR7187870001,KOSDAQ
477760.KQ,DB금융스팩12호,KR7477760003,KOSDAQ
489730.KQ,디비금융제13호스팩,KR7489730002,KOSDAQ
024090.KS,디씨엠,KR7024090003,KOSPI
003160.KS,디아이,KR7003160009,KOSPI
092200.KS,디아이씨,KR7092200005,KOSPI
110990.KQ,디아이티,KR7110990009,KOSDAQ
004840.KS,DRB동일,KR7004840005,KOSPI
263690.KQ,디알젬,KR7263690000,KOSDAQ
214680.KQ,디알텍,KR7214680001,KOSDAQ
347850.KQ,디앤디파마텍,KR7347850000,KOSDAQ
377190.KS,디앤디플랫폼리츠,KR7377190004,KOSPI
